id,output
41,0.9788957
28,0.889302
222,0.6589065
106,0.3092406
108,0.9737766
233,0.019123092
220,0.033730306
58,0.98066807
95,0.033831112
79,0.30357414
256,0.00778364
22,0.9674937
285,0.017915532
192,0.1387827
137,0.9004083
183,0.17087649
206,0.012592631
286,0.8475953
9,0.94754916
65,0.9437377
133,0.8469597
80,0.97951
76,0.760754
276,0.09134614
172,0.97469294
150,0.7373733
280,0.44857553
149,0.9690505
64,0.94520634
254,0.7326345
88,0.9353945
123,0.94932073
8,0.93563545
110,0.2545628
93,0.6828587
140,0.9638327
235,0.1774724
37,0.8017564
15,0.94119793
136,0.9658577
196,0.30289316
72,0.9897003
272,0.9607228
297,0.026089331
300,0.12230817
26,0.7904102
281,0.7388174
1,0.8902866
139,0.018825376
46,0.9830693
163,0.9778992
138,0.35376084
168,0.01932998
127,0.9685819
36,0.9775843
118,0.9319533
6,0.9510773
269,0.01898454
2,0.98905855
14,0.9675386
193,0.010510513
