id,output
34323697,295.24023
29927138,155.2168
120362,171.65509
31838301,71.19967
7244824,49.833588
4841187,214.91751
18909989,72.82019
22232269,118.79854
8272818,138.80481
4041189,98.08057
26663507,93.08733
35196447,159.13232
31315991,75.51199
29604741,260.66782
3574304,188.20984
6006661,100.98692
23875745,284.63983
11611809,205.371
35283631,78.92608
5579147,164.5703
18943821,74.14595
18429093,176.97531
16345072,145.33574
7091125,254.75136
34419834,300.66998
21433001,110.54689
25799863,112.16155
32557722,780.2774
19763298,87.57485
6348972,123.55093
21440192,129.84967
4279260,96.10424
36024957,240.80797
15984905,104.11433
21211369,170.72214
2509093,99.79526
5849810,51.09944
7972839,183.58171
21461540,175.61691
22436581,71.59731
22247787,70.737366
21175996,134.63306
7710442,113.68985
3363462,177.79454
4867016,377.4569
832157,81.10825
31711274,90.649
35344056,203.43082
28835184,93.15778
21624828,62.282345
5663222,86.225945
4103970,96.58537
30940831,72.75005
26465686,185.95537
582272,71.60726
29517788,114.24652
22898351,90.77778
21756084,56.093945
34498765,344.70435
33275808,185.55
30288537,141.11372
26606648,65.29266
26949336,317.76035
8211513,55.397587
32241239,226.09827
20119649,163.6909
21607402,62.88553
33472626,43.49789
34638258,207.88136
1621235,67.08636
22698756,162.83293
1970697,70.98972
13478244,187.54446
30011527,154.90791
35289022,192.59413
29542012,956.6122
35871511,152.2969
32239034,299.94562
9351013,125.54883
36472171,62.353313
21289989,60.09033
16405668,297.36
26865113,83.75016
35770783,126.451675
12407244,80.17876
14992784,66.042755
14933893,85.41472
16055176,215.45064
6450240,61.40819
23026346,117.543686
21970259,124.37055
5094593,52.111755
13811490,98.22781
34340758,259.49347
11497938,166.8335
10270377,76.88707
20358824,52.390926
17192309,129.54012
36077745,224.76006
13614714,129.02216
741154,281.7222
22186114,52.315285
24710755,105.632256
24659224,145.50848
31717837,201.88481
3808323,94.49829
29227369,186.24387
7124028,338.91727
26167182,219.24132
32939925,130.30582
11433561,164.24986
11509497,69.14849
29095078,44.897438
21331808,104.45123
27385494,325.5208
35086252,166.91562
3971580,356.78403
35985851,195.99454
9613369,193.69089
27250960,195.36769
21995883,138.46014
8523742,131.19066
34967524,54.75849
12322066,65.175125
19287758,48.370235
35464315,996.67706
24912450,68.76542
12835123,208.77649
30962509,78.57477
2126376,87.16513
22088276,185.93842
33400552,72.90058
35222567,90.644226
14234561,123.62189
20702398,48.114704
33064805,208.80997
28958526,292.61243
25225344,207.12871
44506,213.4426
36129014,105.83148
6677647,78.873215
31533891,156.10648
18342727,90.22981
32381165,156.5086
35425436,69.10127
7133306,82.98926
23607625,118.00327
32365636,614.12756
7074961,143.91446
16423090,22.234364
20641793,136.7587
1654551,292.5896
36353835,83.31227
28359897,99.603745
36076098,305.48495
17321243,98.515236
15374796,108.59557
25518930,159.66838
34687035,54.10607
22531866,77.444534
25895122,141.21361
3137426,224.74411
5200433,183.71611
17505594,170.04129
548184,153.11069
4430657,119.85859
486350,172.8384
36381795,168.45355
15238740,76.2409
11035889,110.44952
21711690,79.256096
31224372,91.01262
669633,124.89144
11822434,165.10114
128975,168.80696
28633104,127.866196
24538110,206.03876
32543311,63.357044
27876063,60.034378
35376213,195.60968
21871576,120.844475
3070876,127.87938
7400486,124.48895
21898551,150.08441
22762560,239.26466
31436965,206.56516
30905035,185.60509
32929482,63.596996
25803743,100.46629
20482151,261.1783
22545117,81.439095
24893756,165.81564
32116711,68.841446
32237566,318.58902
22339757,46.428265
34087749,243.6683
23045850,56.607113
