id,income
11574,0.33148018
15847,0.1789185
17655,0.26204547
19790,0.4052227
31812,0.20384294
7548,0.15689881
13093,0.73935604
18332,0.23182331
28474,0.691088
4213,7.4265794e-05
23199,0.372055
1426,0.36409837
14097,0.00033407978
32363,0.29581037
25209,0.10355631
12195,0.19909528
29309,0.25484022
9644,0.03308673
5149,0.30142093
29963,0.3542215
28796,0.039067227
2822,0.9974819
2759,0.9948914
21754,0.3543867
30594,0.43229547
22000,0.7907778
2495,0.99922013
4544,0.051843394
16233,0.13285793
27634,0.12870312
21434,0.75346243
31094,0.44922727
3,0.07808009
24102,0.65975726
2861,0.9964805
20994,0.0025630628
8749,0.26250532
19625,0.1315911
6114,0.27293807
10271,0.29053
5418,0.26674715
8973,0.0019786817
11868,0.10953845
27153,0.24291554
24105,0.13911368
30474,0.13577758
8079,0.4057403
678,0.9585426
19030,0.06567096
31251,0.5080868
26556,0.5917747
11885,0.2426283
22975,0.0103883
26882,0.05310536
12453,0.28246132
30338,0.00011564146
7196,0.00013818027
2310,0.9853398
10439,0.011136124
8000,0.09311243
20079,0.10719149
31383,0.30076256
17449,0.00055475085
14177,0.4929012
18995,0.20851043
27079,0.83176523
6652,0.32196358
11447,0.20816071
4690,0.65467453
27679,0.29844946
27323,0.07230736
23117,0.040862195
22483,0.00047574137
9791,0.016235366
6061,0.07651227
25894,0.09701766
20460,0.1253886
7148,0.0011974832
12589,0.069545746
10589,0.0499534
7514,0.03622599
27183,0.16369492
11764,0.37246528
27766,0.15438774
21550,0.41954175
21762,0.29434356
13697,0.090136416
12057,0.22423941
8754,0.077449694
5098,0.53193307
625,0.87213784
2216,0.9998319
22281,0.04200662
18270,0.24249147
20788,0.24452882
28907,0.4577854
20807,0.14728548
19878,0.28038168
32236,0.0063572605
17919,0.14356135
5759,0.0005312769
31454,0.24085756
28544,0.32650205
27923,0.029911228
18958,0.00053851353
8198,0.35761848
29544,0.2783368
25412,0.3758256
20790,0.26408094
694,0.8395056
16533,0.25012574
22683,0.7588585
32246,0.00033995518
153,0.06853316
13901,0.31317386
27444,0.099638864
31554,0.03905862
30556,0.2770909
18580,0.04861648
10090,0.2520465
20252,0.11777857
1670,0.9289499
7055,0.12106495
23159,0.17833799
31499,0.43928176
4379,0.050189957
26289,0.41950592
6552,0.0053048176
28526,0.13931787
25495,0.30908486
3834,0.00090010226
9848,0.007987175
27044,0.2003469
28172,0.2843836
